instrument,alpha,key,text,label,row,scale,item
NEO,0.78,1,Go straight for the goal.,Achievement-Striving,3125,NEO_Achievement-Striving,NEO_Achievement-Striving_01
NEO,0.78,1,Plunge into tasks with all my heart.,Achievement-Striving,3126,NEO_Achievement-Striving,NEO_Achievement-Striving_02
NEO,0.78,1,Demand quality.,Achievement-Striving,3127,NEO_Achievement-Striving,NEO_Achievement-Striving_03
NEO,0.78,1,Set high standards for myself and others.,Achievement-Striving,3128,NEO_Achievement-Striving,NEO_Achievement-Striving_04
NEO,0.78,1,Turn plans into actions.,Achievement-Striving,3129,NEO_Achievement-Striving,NEO_Achievement-Striving_05
NEO,0.78,1,Do more than what's expected of me.,Achievement-Striving,3130,NEO_Achievement-Striving,NEO_Achievement-Striving_06
NEO,0.78,1,Work hard.,Achievement-Striving,3131,NEO_Achievement-Striving,NEO_Achievement-Striving_07
NEO,0.78,-1,Do just enough work to get by.,Achievement-Striving,3132,NEO_Achievement-Striving,NEO_Achievement-Striving_08
NEO,0.78,-1,Am not highly motivated to succeed.,Achievement-Striving,3133,NEO_Achievement-Striving,NEO_Achievement-Striving_09
NEO,0.78,-1,Put little time and effort into my work.,Achievement-Striving,3134,NEO_Achievement-Striving,NEO_Achievement-Striving_10
NEO,0.71,1,Am always on the go.,Activity-Level,3135,NEO_Activity-Level,NEO_Activity-Level_01
NEO,0.71,1,Am always busy.,Activity-Level,3136,NEO_Activity-Level,NEO_Activity-Level_02
NEO,0.71,1,React quickly.,Activity-Level,3137,NEO_Activity-Level,NEO_Activity-Level_03
NEO,0.71,1,Can manage many things at the same time.,Activity-Level,3138,NEO_Activity-Level,NEO_Activity-Level_04
NEO,0.71,1,Do a lot in my spare time.,Activity-Level,3139,NEO_Activity-Level,NEO_Activity-Level_05
NEO,0.71,-1,React slowly.,Activity-Level,3140,NEO_Activity-Level,NEO_Activity-Level_06
NEO,0.71,-1,Like to take my time.,Activity-Level,3141,NEO_Activity-Level,NEO_Activity-Level_07
NEO,0.71,-1,Like a leisurely lifestyle.,Activity-Level,3142,NEO_Activity-Level,NEO_Activity-Level_08
NEO,0.71,-1,Like to take it easy.,Activity-Level,3143,NEO_Activity-Level,NEO_Activity-Level_09
NEO,0.71,-1,Let things proceed at their own pace.,Activity-Level,3144,NEO_Activity-Level,NEO_Activity-Level_10
NEO,0.77,1,Like to visit new places.,Adventurousness,3145,NEO_Adventurousness,NEO_Adventurousness_01
NEO,0.77,1,Interested in many things.,Adventurousness,3146,NEO_Adventurousness,NEO_Adventurousness_02
NEO,0.77,1,Prefer variety to routine.,Adventurousness,3147,NEO_Adventurousness,NEO_Adventurousness_03
NEO,0.77,1,Like to begin new things.,Adventurousness,3148,NEO_Adventurousness,NEO_Adventurousness_04
NEO,0.77,-1,Don't like the idea of change.,Adventurousness,3149,NEO_Adventurousness,NEO_Adventurousness_05
NEO,0.77,-1,Prefer to stick with things that I know.,Adventurousness,3150,NEO_Adventurousness,NEO_Adventurousness_06
NEO,0.77,-1,Dislike changes.,Adventurousness,3151,NEO_Adventurousness,NEO_Adventurousness_07
NEO,0.77,-1,Am a creature of habit.,Adventurousness,3152,NEO_Adventurousness,NEO_Adventurousness_08
NEO,0.77,-1,Am attached to conventional ways.,Adventurousness,3153,NEO_Adventurousness,NEO_Adventurousness_09
NEO,0.77,-1,Dislike new foods.,Adventurousness,3154,NEO_Adventurousness,NEO_Adventurousness_10
NEO,0.84,1,Love flowers.,Aesthetic Appreciation/Artistic Interests,3155,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_01
NEO,0.84,1,Like music.,Aesthetic Appreciation/Artistic Interests,3156,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_02
NEO,0.84,1,See beauty in things that others might not notice.,Aesthetic Appreciation/Artistic Interests,3157,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_03
NEO,0.84,1,Believe in the importance of art.,Aesthetic Appreciation/Artistic Interests,3158,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_04
NEO,0.84,1,Enjoy the beauty of nature.,Aesthetic Appreciation/Artistic Interests,3159,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_05
NEO,0.84,-1,Do not like poetry.,Aesthetic Appreciation/Artistic Interests,3160,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_06
NEO,0.84,-1,Do not enjoy watching dance performances.,Aesthetic Appreciation/Artistic Interests,3161,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_07
NEO,0.84,-1,Do not enjoy going to art museums.,Aesthetic Appreciation/Artistic Interests,3162,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_08
NEO,0.84,-1,Do not like art.,Aesthetic Appreciation/Artistic Interests,3163,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_09
NEO,0.84,-1,Do not like concerts.,Aesthetic Appreciation/Artistic Interests,3164,NEO_Aesthetic Appreciation/Artistic Interests,NEO_Aesthetic Appreciation/Artistic Interests_10
NEO,0.77,1,Anticipate the needs of others.,Altruism,3165,NEO_Altruism,NEO_Altruism_01
NEO,0.77,1,Love to help others.,Altruism,3166,NEO_Altruism,NEO_Altruism_02
NEO,0.77,1,Have a good word for everyone.,Altruism,3167,NEO_Altruism,NEO_Altruism_03
NEO,0.77,1,Make people feel welcome.,Altruism,3168,NEO_Altruism,NEO_Altruism_04
NEO,0.77,1,Am concerned about others.,Altruism,3169,NEO_Altruism,NEO_Altruism_05
NEO,0.77,-1,Am indifferent to the feelings of others.,Altruism,3170,NEO_Altruism,NEO_Altruism_06
NEO,0.77,-1,Turn my back on others.,Altruism,3171,NEO_Altruism,NEO_Altruism_07
NEO,0.77,-1,Make people feel uncomfortable.,Altruism,3172,NEO_Altruism,NEO_Altruism_08
NEO,0.77,-1,Look down on others.,Altruism,3173,NEO_Altruism,NEO_Altruism_09
NEO,0.77,-1,Take no time for others.,Altruism,3174,NEO_Altruism,NEO_Altruism_10
NEO,0.88,1,Get irritated easily.,Anger,3175,NEO_Anger,NEO_Anger_01
NEO,0.88,1,Am often in a bad mood.,Anger,3176,NEO_Anger,NEO_Anger_02
NEO,0.88,1,Get angry easily.,Anger,3177,NEO_Anger,NEO_Anger_03
NEO,0.88,1,Lose my temper.,Anger,3178,NEO_Anger,NEO_Anger_04
NEO,0.88,1,Get upset easily.,Anger,3179,NEO_Anger,NEO_Anger_05
NEO,0.88,-1,Am not easily annoyed.,Anger,3180,NEO_Anger,NEO_Anger_06
NEO,0.88,-1,Rarely get irritated.,Anger,3181,NEO_Anger,NEO_Anger_07
NEO,0.88,-1,Seldom get mad.,Anger,3182,NEO_Anger,NEO_Anger_08
NEO,0.88,-1,Keep my cool.,Anger,3183,NEO_Anger,NEO_Anger_09
NEO,0.88,-1,Rarely complain.,Anger,3184,NEO_Anger,NEO_Anger_10
NEO,0.83,1,Am afraid of many things.,Anxiety,3185,NEO_Anxiety,NEO_Anxiety_01
NEO,0.83,1,Get stressed out easily.,Anxiety,3186,NEO_Anxiety,NEO_Anxiety_02
NEO,0.83,1,Get caught up in my problems.,Anxiety,3187,NEO_Anxiety,NEO_Anxiety_03
NEO,0.83,1,Worry about things.,Anxiety,3188,NEO_Anxiety,NEO_Anxiety_04
NEO,0.83,1,Fear for the worst.,Anxiety,3189,NEO_Anxiety,NEO_Anxiety_05
NEO,0.83,-1,Adapt easily to new situations.,Anxiety,3190,NEO_Anxiety,NEO_Anxiety_06
NEO,0.83,-1,Am relaxed most of the time.,Anxiety,3191,NEO_Anxiety,NEO_Anxiety_07
NEO,0.83,-1,Am not easily disturbed by events.,Anxiety,3192,NEO_Anxiety,NEO_Anxiety_08
NEO,0.83,-1,Am not easily bothered by things.,Anxiety,3193,NEO_Anxiety,NEO_Anxiety_09
NEO,0.83,-1,Don't worry about things that have already happened.,Anxiety,3194,NEO_Anxiety,NEO_Anxiety_10
NEO,0.84,1,Take charge.,Assertiveness,3195,NEO_Assertiveness,NEO_Assertiveness_01
NEO,0.84,1,Can talk others into doing things.,Assertiveness,3196,NEO_Assertiveness,NEO_Assertiveness_02
NEO,0.84,1,Try to lead others.,Assertiveness,3197,NEO_Assertiveness,NEO_Assertiveness_03
NEO,0.84,1,Take control of things.,Assertiveness,3198,NEO_Assertiveness,NEO_Assertiveness_04
NEO,0.84,1,Seek to influence others.,Assertiveness,3199,NEO_Assertiveness,NEO_Assertiveness_05
NEO,0.84,-1,Hold back my opinions.,Assertiveness,3200,NEO_Assertiveness,NEO_Assertiveness_06
NEO,0.84,-1,Keep in the background.,Assertiveness,3201,NEO_Assertiveness,NEO_Assertiveness_07
NEO,0.84,-1,Have little to say.,Assertiveness,3202,NEO_Assertiveness,NEO_Assertiveness_08
NEO,0.84,-1,Don't like to draw attention to myself.,Assertiveness,3203,NEO_Assertiveness,NEO_Assertiveness_09
NEO,0.84,-1,Wait for others to lead the way.,Assertiveness,3204,NEO_Assertiveness,NEO_Assertiveness_10
NEO,0.76,1,Stick to my chosen path.,Cautiousness,3205,NEO_Cautiousness,NEO_Cautiousness_01
NEO,0.76,1,Avoid mistakes.,Cautiousness,3206,NEO_Cautiousness,NEO_Cautiousness_02
NEO,0.76,1,Choose my words with care.,Cautiousness,3207,NEO_Cautiousness,NEO_Cautiousness_03
NEO,0.76,-1,Make rash decisions.,Cautiousness,3208,NEO_Cautiousness,NEO_Cautiousness_04
NEO,0.76,-1,Act without thinking.,Cautiousness,3209,NEO_Cautiousness,NEO_Cautiousness_05
NEO,0.76,-1,Jump into things without thinking.,Cautiousness,3210,NEO_Cautiousness,NEO_Cautiousness_06
NEO,0.76,-1,Rush into things.,Cautiousness,3211,NEO_Cautiousness,NEO_Cautiousness_07
NEO,0.76,-1,Like to act on a whim.,Cautiousness,3212,NEO_Cautiousness,NEO_Cautiousness_08
NEO,0.76,-1,Often make last-minute plans.,Cautiousness,3213,NEO_Cautiousness,NEO_Cautiousness_09
NEO,0.76,-1,Do crazy things.,Cautiousness,3214,NEO_Cautiousness,NEO_Cautiousness_10
NEO,0.81,1,Amuse my friends.,Cheerfulness,3215,NEO_Cheerfulness,NEO_Cheerfulness_01
NEO,0.81,1,Look at the bright side of life.,Cheerfulness,3216,NEO_Cheerfulness,NEO_Cheerfulness_02
NEO,0.81,1,Love life.,Cheerfulness,3217,NEO_Cheerfulness,NEO_Cheerfulness_03
NEO,0.81,1,Laugh aloud.,Cheerfulness,3218,NEO_Cheerfulness,NEO_Cheerfulness_04
NEO,0.81,1,Express childlike joy.,Cheerfulness,3219,NEO_Cheerfulness,NEO_Cheerfulness_05
NEO,0.81,1,Radiate joy.,Cheerfulness,3220,NEO_Cheerfulness,NEO_Cheerfulness_06
NEO,0.81,1,Laugh my way through life.,Cheerfulness,3221,NEO_Cheerfulness,NEO_Cheerfulness_07
NEO,0.81,1,Have a lot of fun.,Cheerfulness,3222,NEO_Cheerfulness,NEO_Cheerfulness_08
NEO,0.81,-1,Seldom joke around.,Cheerfulness,3223,NEO_Cheerfulness,NEO_Cheerfulness_09
NEO,0.81,-1,Am not easily amused.,Cheerfulness,3224,NEO_Cheerfulness,NEO_Cheerfulness_10
NEO,0.73,1,Am easy to satisfy.,Cooperation,3225,NEO_Cooperation,NEO_Cooperation_01
NEO,0.73,1,Can't stand confrontations.,Cooperation,3226,NEO_Cooperation,NEO_Cooperation_02
NEO,0.73,1,Hate to seem pushy.,Cooperation,3227,NEO_Cooperation,NEO_Cooperation_03
NEO,0.73,-1,Insult people.,Cooperation,3228,NEO_Cooperation,NEO_Cooperation_04
NEO,0.73,-1,Yell at people.,Cooperation,3229,NEO_Cooperation,NEO_Cooperation_05
NEO,0.73,-1,Hold a grudge.,Cooperation,3230,NEO_Cooperation,NEO_Cooperation_06
NEO,0.73,-1,Love a good fight.,Cooperation,3231,NEO_Cooperation,NEO_Cooperation_07
NEO,0.73,-1,Contradict others.,Cooperation,3232,NEO_Cooperation,NEO_Cooperation_08
NEO,0.73,-1,Have a sharp tongue.,Cooperation,3233,NEO_Cooperation,NEO_Cooperation_09
NEO,0.73,-1,Get back at others.,Cooperation,3234,NEO_Cooperation,NEO_Cooperation_10
NEO,0.88,1,Feel that my life lacks direction.,Depression,3235,NEO_Depression,NEO_Depression_01
NEO,0.88,1,Am often down in the dumps.,Depression,3236,NEO_Depression,NEO_Depression_02
NEO,0.88,1,Have frequent mood swings.,Depression,3237,NEO_Depression,NEO_Depression_03
NEO,0.88,1,Dislike myself.,Depression,3238,NEO_Depression,NEO_Depression_04
NEO,0.88,1,Often feel blue.,Depression,3239,NEO_Depression,NEO_Depression_05
NEO,0.88,1,Have a low opinion of myself.,Depression,3240,NEO_Depression,NEO_Depression_06
NEO,0.88,1,Feel desperate.,Depression,3241,NEO_Depression,NEO_Depression_07
NEO,0.88,-1,Seldom feel blue.,Depression,3242,NEO_Depression,NEO_Depression_08
NEO,0.88,-1,Feel comfortable with myself.,Depression,3243,NEO_Depression,NEO_Depression_09
NEO,0.88,-1,Am very pleased with myself.,Depression,3244,NEO_Depression,NEO_Depression_10
NEO,0.71,1,Keep my promises.,Dutifulness,3245,NEO_Dutifulness,NEO_Dutifulness_01
NEO,0.71,1,Tell the truth.,Dutifulness,3246,NEO_Dutifulness,NEO_Dutifulness_02
NEO,0.71,1,Pay my bills on time.,Dutifulness,3247,NEO_Dutifulness,NEO_Dutifulness_03
NEO,0.71,1,Listen to my conscience.,Dutifulness,3248,NEO_Dutifulness,NEO_Dutifulness_04
NEO,0.71,1,Try to follow the rules.,Dutifulness,3249,NEO_Dutifulness,NEO_Dutifulness_05
NEO,0.71,-1,Break rules.,Dutifulness,3250,NEO_Dutifulness,NEO_Dutifulness_06
NEO,0.71,-1,Misrepresent the facts.,Dutifulness,3251,NEO_Dutifulness,NEO_Dutifulness_07
NEO,0.71,-1,Break my promises.,Dutifulness,3252,NEO_Dutifulness,NEO_Dutifulness_08
NEO,0.71,-1,Do the opposite of what is asked.,Dutifulness,3253,NEO_Dutifulness,NEO_Dutifulness_09
NEO,0.71,-1,Get others to do my duties.,Dutifulness,3254,NEO_Dutifulness,NEO_Dutifulness_10
NEO,0.81,1,Experience my emotions intensely.,Emotionality,3255,NEO_Emotionality,NEO_Emotionality_01
NEO,0.81,1,Feel others' emotions.,Emotionality,3256,NEO_Emotionality,NEO_Emotionality_02
NEO,0.81,1,Try to understand myself.,Emotionality,3257,NEO_Emotionality,NEO_Emotionality_03
NEO,0.81,1,Am passionate about causes.,Emotionality,3258,NEO_Emotionality,NEO_Emotionality_04
NEO,0.81,1,Enjoy examining myself and my life.,Emotionality,3259,NEO_Emotionality,NEO_Emotionality_05
NEO,0.81,-1,Seldom get emotional.,Emotionality,3260,NEO_Emotionality,NEO_Emotionality_06
NEO,0.81,-1,Experience very few emotional highs and lows.,Emotionality,3261,NEO_Emotionality,NEO_Emotionality_07
NEO,0.81,-1,Am not easily affected by my emotions.,Emotionality,3262,NEO_Emotionality,NEO_Emotionality_08
NEO,0.81,-1,Don't understand people who get emotional.,Emotionality,3263,NEO_Emotionality,NEO_Emotionality_09
NEO,0.81,-1,Rarely notice my emotional reactions.,Emotionality,3264,NEO_Emotionality,NEO_Emotionality_10
NEO,0.78,1,Love excitement.,Excitement-Seeking,3265,NEO_Excitement-Seeking,NEO_Excitement-Seeking_01
NEO,0.78,1,Enjoy being part of a loud crowd.,Excitement-Seeking,3266,NEO_Excitement-Seeking,NEO_Excitement-Seeking_02
NEO,0.78,1,Seek danger.,Excitement-Seeking,3267,NEO_Excitement-Seeking,NEO_Excitement-Seeking_03
NEO,0.78,1,Act wild and crazy.,Excitement-Seeking,3268,NEO_Excitement-Seeking,NEO_Excitement-Seeking_04
NEO,0.78,1,Willing to try anything once.,Excitement-Seeking,3269,NEO_Excitement-Seeking,NEO_Excitement-Seeking_05
NEO,0.78,1,Seek adventure.,Excitement-Seeking,3270,NEO_Excitement-Seeking,NEO_Excitement-Seeking_06
NEO,0.78,1,Love action.,Excitement-Seeking,3271,NEO_Excitement-Seeking,NEO_Excitement-Seeking_07
NEO,0.78,1,Enjoy being reckless.,Excitement-Seeking,3272,NEO_Excitement-Seeking,NEO_Excitement-Seeking_08
